Question Type,Question,Answer
Choose the Best Answer,Which object uses the reflection of light?,"All of these (Kaleidoscope, Plane mirror, Convex mirror)"
Choose the Best Answer,Which surface will not reflect most of the light falling on them?,Rough surface
Choose the Best Answer,The ENT doctor uses a ________.,Concave mirror
Choose the Best Answer,In dispersion the colour of light that will bend more is ________.,Violet
Choose the Best Answer,Reflection by a looking mirror is called ________.,Regular reflection
Choose the Best Answer,The velocity of light in vacuum is 3 x 108 ms-1 and in glass is 2 x 108 ms-1. The refractive index of glass is ________.,1.5
Choose the Best Answer,Incident angle of a ray of light is 30°. The angle between the incident ray and the reflected ray is ________.,60°
Choose the Best Answer,In the head lights of motor vehicles ________ mirrors are used as reflectors.,Concave mirrors
Choose the Best Answer,The phenomenon of light passing through the object is called ________.,Refraction
Fill in the Blanks,The bouncing back of light from a surface is called ________.,Reflection
Fill in the Blanks,________ mirrors make things look larger when objects are placed close to it.,Concave
Fill in the Blanks,Convex mirror always forms ________ and ________ image.,Virtual and erect
Fill in the Blanks,The incident ray ________ ray and the ________ at the point of incidence all lie on the same plane.,Reflected normal
Fill in the Blanks,A ray of light incident along normal to the mirror ________ its path.,Retraces
Fill in the Blanks,When light passes from one medium to another the ray gets bent. This property of light is called ________.,Refraction
Fill in the Blanks,Spherical mirrors are one form of ________ mirrors.,Curved
Fill in the Blanks,________ mirrors magnify the object placed close to them.,Concave
Fill in the Blanks,The image formed by convex mirrors is ________ than the object.,Smaller
Fill in the Blanks,________ mirrors form the perfect image of an object.,Plane
Fill in the Blanks,The ________ of a mirror determines the type of image it forms.,Shape
Fill in the Blanks,The ________ is an optical device with a polished surface that reflects the light falling on it.,Mirror
True or False,We can see things around us only when the light reflected by them reaches our eyes.,True
True or False,Light is a form of energy and it travels in a straight line.,True
True or False,The periscope is an optical device with a polished surface that reflects the light falling on it.,"False. Correct statement: The mirror is an optical device with a polished surface that reflects the light falling on it."
True or False,Curved mirrors have surfaces that are spherical cylindrical parabolic and ellipsoid.,True
True or False,Curved mirrors form the perfect image of an object.,"False. Correct statement: Plane mirrors form the perfect image of an object."
True or False,Curved mirrors produce images that are either enlarged or diminished.,True
True or False,A thin layer of molten aluminium or silver is used for coating glass plates that will then become mirrors.,True
True or False,The most common example of a convex mirror is the make-up mirror.,"False. Correct statement: The most common example of a concave mirror is the make-up mirror."
Assertion & Reason,Assertion: A ray incident along normal to the mirror retraces its path. Reason: In reflection angle of incidence is always equal to angle of reflection.,Both assertion and reason are true and the reason is the correct explanation of the assertion
Assertion & Reason,Assertion: Convex mirrors are used as rear view mirror in vehicles for observing traffic at our back. Reason: A convex mirror has a much larger field of view.,Both assertion and reason are true and the reason is the correct explanation of the assertion
Assertion & Reason,Assertion: The mirrors used in search lights are parabolic and not concave spherical. Reason: In concave spherical mirror the image formed is always virtual.,"The assertion is true but the reason is false. Correct explanation: In search lights we need an intense parallel beam of light. If a source is placed at the focus of a concave spherical mirror only paraxial rays are rendered parallel. Due to large aperture of mirror marginal rays give a divergent beam. But in case of parabolic mirror when source is at the focus beam of light produced over the entire cross-section of the mirror is a parallel beam."
Very Short Answer,How does the light travel?,The light travels along straight lines.
Very Short Answer,What is reflection of light?,The bouncing back of light when it falls on smooth surface is called reflection.
Very Short Answer,What is mirror?,The mirror is an optical device with a polished surface that reflects the light falling on it.
Very Short Answer,What type of image is formed by a concave mirror?,Real and inverted image. If the object is placed very close to the mirror then the image is virtual and erect.
Very Short Answer,What is rainbow?,The rainbow is seen as a large area in the sky with many colours.
Very Short Answer,Name the triangular piece of glass that splits white light into different colours.,Prism
Very Short Answer,What is the composition of sunlight?,Sunlight is a mixture of seven colours.
Very Short Answer,Light bends as it passes from one medium to another. What is this phenomenon called?,Refraction of light
Very Short Answer,Name the two types of spherical mirrors.,"1. Concave mirror
2. Convex mirror"
Short Answer,Light travels fastest in vacuum. Why?,Light travels fastest in vacuum than any other medium because there is no obstruction to the passage of light in vacuum.
Short Answer,Distinguish between real and virtual images.,"Real image: Type of image which can be obtained on a screen is called a real image
Virtual image: An image which cannot be obtained on a screen is called a virtual image."
Short Answer,State any two uses of concave mirrors.,"1. It is used as a reflector in torches light houses head lights of vehicles etc. as it diverges the rays of light.
2. A dentist uses a concave mirror to obtain a magnified image of the teeth of the patient."
Short Answer,A convex rear view mirror is preferred over a plane mirror in a car. Why?,Since convex mirror forms a smaller and virtual image it can be used to see a much larger area than the area visible by a plane mirror.
